"","Var1","Var2","cor","p","direction","new_column"
"28","s__Lachnospira_eligens","Aspergillus indologenus",-0.126056844627134,0.02,"-1","Bacter_fungi"
"29","s__Lacrimispora_saccharolytica","Aspergillus indologenus",-0.103563987349848,0.01,"-1","Bacter_fungi"
"30","s__Mageeibacillus_indolicus","Aspergillus indologenus",-0.123311887306807,0,"-1","Bacter_fungi"
"31","s__Olsenella_timonensis","Aspergillus indologenus",-0.14357126330228,0.01,"-1","Bacter_fungi"
"32","s__Paenibacillus_larvae","Aspergillus indologenus",-0.142732172176763,0,"-1","Bacter_fungi"
"33","s__Pseudobutyrivibrio_xylanivorans","Aspergillus indologenus",-0.156867321946233,0,"-1","Bacter_fungi"
"34","s__Roseburia_hominis","Aspergillus indologenus",-0.147505929667998,0,"-1","Bacter_fungi"
"35","s__Ruminococcus_albus","Aspergillus indologenus",-0.163621165964896,0,"-1","Bacter_fungi"
"36","s__Ruminococcus_bovis","Aspergillus indologenus",-0.0986669018251568,0.02,"-1","Bacter_fungi"
"37","s__Ruminococcus_champanellensis","Aspergillus indologenus",-0.13242689182219,0.01,"-1","Bacter_fungi"
"38","Botryobasidium botryosum","Bacidia gigantensis",0.189077233627463,0,"1","fungi_fungi"
"39","Bacidia gigantensis","Capronia coronata",0.143398506198579,0,"1","fungi_fungi"
"40","Cladophialophora psammophila","Bacidia gigantensis",0.107754786203463,0.02,"1","fungi_fungi"
"41","Dacryopinax primogenitus","Bacidia gigantensis",0.174228226096256,0,"1","fungi_fungi"
"42","Bacidia gigantensis","Diaporthe batatas",0.12041252831678,0,"1","fungi_fungi"
"43","Bacidia gigantensis","Diaporthe helianthi",0.226167574743581,0,"1","fungi_fungi"
"44","Bacidia gigantensis","Enterocytozoon bieneusi",0.110585068499889,0.03,"1","fungi_fungi"
"45","Fistulina hepatica","Bacidia gigantensis",0.213389588397159,0,"1","fungi_fungi"
"46","Fusarium oxysporum","Bacidia gigantensis",0.133734788445236,0.02,"1","fungi_fungi"
"47","Hanseniaspora guilliermondii","Bacidia gigantensis",0.147689609747805,0,"1","fungi_fungi"
"48","Hypoxylon sp. CO27-5","Bacidia gigantensis",0.133822157292372,0.02,"1","fungi_fungi"
"49","Bacidia gigantensis","Kalmanozyma brasiliensis",0.104422752927164,0.01,"1","fungi_fungi"
"50","Kwoniella mangrovensis","Bacidia gigantensis",0.145292412210692,0,"1","fungi_fungi"
"51","Bacidia gigantensis","Macroventuria anomochaeta",0.123144730167312,0.02,"1","fungi_fungi"
"52","Malassezia pachydermatis","Bacidia gigantensis",0.109709888441182,0.03,"1","fungi_fungi"
"53","Microbotryum lychnidis-dioicae","Bacidia gigantensis",0.189015477849892,0,"1","fungi_fungi"
"54","Naematelia encephala","Bacidia gigantensis",0.09445592479333,0.04,"1","fungi_fungi"
"55","Neolecta irregularis","Bacidia gigantensis",0.0856319224256641,0.04,"1","fungi_fungi"
"56","Neurospora tetrasperma","Bacidia gigantensis",0.0799283595426666,0.04,"1","fungi_fungi"
"57","Bacidia gigantensis","Ogataea philodendri",0.0934191484338892,0.04,"1","fungi_fungi"
"58","Penicillium antarcticum","Bacidia gigantensis",0.105626858139857,0.03,"1","fungi_fungi"
"59","Bacidia gigantensis","Pseudogymnoascus destructans",0.128245680644326,0.01,"1","fungi_fungi"
"60","Bacidia gigantensis","Sporothrix brasiliensis",0.202815392252711,0,"1","fungi_fungi"
"61","Talaromyces amestolkiae","Bacidia gigantensis",0.145485755944226,0,"1","fungi_fungi"
"62","Talaromyces marneffei","Bacidia gigantensis",0.135382915118557,0,"1","fungi_fungi"
"63","Bacidia gigantensis","Tolypocladium paradoxum",0.114146308561988,0.02,"1","fungi_fungi"
"64","s__Acetivibrio_thermocellus","Bacidia gigantensis",-0.160688065578503,0,"-1","Bacter_fungi"
"65","s__Adlercreutzia_equolifaciens","Bacidia gigantensis",-0.136757695637573,0.01,"-1","Bacter_fungi"
"66","s__Adlercreutzia_hattorii","Bacidia gigantensis",-0.188306989184847,0,"-1","Bacter_fungi"
"67","s__Bifidobacterium_adolescentis","Bacidia gigantensis",-0.115703833801739,0.01,"-1","Bacter_fungi"
"68","s__Butyrivibrio_hungatei","Bacidia gigantensis",-0.138811819154384,0.02,"-1","Bacter_fungi"
"69","s__Clostridium_novyi","Bacidia gigantensis",-0.190744356209021,0,"-1","Bacter_fungi"
"70","s__Coprococcus_comes","Bacidia gigantensis",-0.131438166736877,0.04,"-1","Bacter_fungi"
"71","s__Coprococcus_eutactus","Bacidia gigantensis",-0.219763008048288,0,"-1","Bacter_fungi"
"72","s__Coprococcus_sp._ART55","Bacidia gigantensis",-0.151116499551741,0,"-1","Bacter_fungi"
"73","s__Eubacterium_sp._MSJ-33","Bacidia gigantensis",-0.193858132908571,0,"-1","Bacter_fungi"
"74","s__Faecalitalea_cylindroides","Bacidia gigantensis",-0.127248130399814,0.02,"-1","Bacter_fungi"
"75","s__Lachnospira_eligens","Bacidia gigantensis",-0.283541859946669,0,"-1","Bacter_fungi"
"76","s__Mageeibacillus_indolicus","Bacidia gigantensis",-0.165418798240651,0,"-1","Bacter_fungi"
"77","s__Paenibacillus_larvae","Bacidia gigantensis",-0.148367328631255,0,"-1","Bacter_fungi"
"78","s__Pseudobutyrivibrio_xylanivorans","Bacidia gigantensis",-0.210873592531996,0,"-1","Bacter_fungi"
"79","s__Roseburia_hominis","Bacidia gigantensis",-0.15128277225972,0,"-1","Bacter_fungi"
"80","s__Ruminococcus_albus","Bacidia gigantensis",-0.198048295983933,0,"-1","Bacter_fungi"
"81","s__Ruminococcus_bicirculans","Bacidia gigantensis",-0.164600204449457,0,"-1","Bacter_fungi"
"82","s__Ruminococcus_bovis","Bacidia gigantensis",-0.193929211057692,0,"-1","Bacter_fungi"
"83","s__Ruminococcus_champanellensis","Bacidia gigantensis",-0.225958078831448,0,"-1","Bacter_fungi"
"84","s__Vescimonas_coprocola","Bacidia gigantensis",-0.171202248230331,0,"-1","Bacter_fungi"
"85","s__Vescimonas_fastidiosa","Bacidia gigantensis",-0.167946045334884,0,"-1","Bacter_fungi"
"86","s__[Ruminococcus]_torques","Bacidia gigantensis",-0.114505403709698,0.04,"-1","Bacter_fungi"
"87","Colletotrichum simmondsii","Baudoinia panamericana",0.117951740041316,0,"1","fungi_fungi"
"88","Baudoinia panamericana","Hypoxylon sp. CO27-5",0.0944259022199292,0.04,"1","fungi_fungi"
"89","Hypsizygus marmoreus","Baudoinia panamericana",0.10513020813623,0.01,"1","fungi_fungi"
"90","Baudoinia panamericana","Malassezia pachydermatis",0.0925611722597783,0.01,"1","fungi_fungi"
"91","Baudoinia panamericana","Neurospora crassa",0.0921384364438517,0.04,"1","fungi_fungi"
"92","Neurospora tetrasperma","Baudoinia panamericana",0.0796671243310569,0.01,"1","fungi_fungi"
"93","Baudoinia panamericana","Pseudogymnoascus sp. VKM F-4246",0.19348172028969,0,"1","fungi_fungi"
"94","Baudoinia panamericana","Pyrenophora tritici-repentis",0.120475954907694,0.02,"1","fungi_fungi"
"95","s__Acetivibrio_thermocellus","Baudoinia panamericana",-0.151563538159166,0,"-1","Bacter_fungi"
"96","s__Blautia_pseudococcoides","Baudoinia panamericana",-0.16482921414521,0.01,"-1","Bacter_fungi"
"97","s__Butyrivibrio_hungatei","Baudoinia panamericana",-0.167246352953082,0,"-1","Bacter_fungi"
"98","s__Clostridium_novyi","Baudoinia panamericana",-0.148822570640911,0.02,"-1","Bacter_fungi"
"99","s__Coprococcus_comes","Baudoinia panamericana",-0.122832320692591,0,"-1","Bacter_fungi"
"100","s__Coprococcus_eutactus","Baudoinia panamericana",-0.254904630144091,0,"-1","Bacter_fungi"
"101","s__Coprococcus_sp._ART55","Baudoinia panamericana",-0.208659292219973,0,"-1","Bacter_fungi"
"102","s__Dorea_longicatena","Baudoinia panamericana",-0.133236416887425,0.01,"-1","Bacter_fungi"
"103","s__Edwardsiella_anguillarum","Baudoinia panamericana",0.0911302334056097,0.04,"1","Bacter_fungi"
"104","s__Eubacterium_sp._c-25","Baudoinia panamericana",-0.15989017067293,0.01,"-1","Bacter_fungi"
"105","s__Faecalibacillus_intestinalis","Baudoinia panamericana",-0.124464562590807,0.01,"-1","Bacter_fungi"
"106","s__Faecalibacterium_duncaniae","Baudoinia panamericana",0.101213070738656,0.04,"1","Bacter_fungi"
"107","s__Faecalitalea_cylindroides","Baudoinia panamericana",-0.178382060368572,0,"-1","Bacter_fungi"
"108","s__Lachnoclostridium_phocaeense","Baudoinia panamericana",-0.175092244294082,0,"-1","Bacter_fungi"
"109","s__Lacrimispora_saccharolytica","Baudoinia panamericana",-0.173553794268601,0,"-1","Bacter_fungi"
"110","s__Pseudobutyrivibrio_xylanivorans","Baudoinia panamericana",-0.16438986587502,0,"-1","Bacter_fungi"
"111","s__Ruminococcus_albus","Baudoinia panamericana",-0.139844060567324,0.01,"-1","Bacter_fungi"
"112","s__Ruminococcus_bovis","Baudoinia panamericana",-0.118419520917836,0.03,"-1","Bacter_fungi"
"113","s__[Ruminococcus]_torques","Baudoinia panamericana",-0.139990759019819,0.01,"-1","Bacter_fungi"
"114","Calocera viscosa","Botryobasidium botryosum",0.132891623870412,0.01,"1","fungi_fungi"
"115","Cladophialophora psammophila","Botryobasidium botryosum",0.0914136091627692,0.04,"1","fungi_fungi"
"116","Dacryopinax primogenitus","Botryobasidium botryosum",0.10637306504649,0.03,"1","fungi_fungi"
"117","Botryobasidium botryosum","Diaporthe batatas",0.141765964618598,0,"1","fungi_fungi"
"118","Botryobasidium botryosum","Diaporthe helianthi",0.157017998742184,0,"1","fungi_fungi"
"119","Botryobasidium botryosum","Enterocytozoon bieneusi",0.279923186577806,0,"1","fungi_fungi"
"120","Botryobasidium botryosum","Fusarium venenatum",-0.115005608365952,0.02,"-1","fungi_fungi"
"121","Hypoxylon sp. CO27-5","Botryobasidium botryosum",0.135297928366909,0,"1","fungi_fungi"
"122","Botryobasidium botryosum","Macroventuria anomochaeta",0.122943309777568,0.01,"1","fungi_fungi"
"123","Microbotryum lychnidis-dioicae","Botryobasidium botryosum",0.112721968409498,0.01,"1","fungi_fungi"
"124","Naematelia encephala","Botryobasidium botryosum",0.116005866532952,0.01,"1","fungi_fungi"
"125","Neurospora tetrasperma","Botryobasidium botryosum",0.129722082211827,0,"1","fungi_fungi"
"126","Botryobasidium botryosum","Ogataea philodendri",0.176851440529487,0,"1","fungi_fungi"
"127","Botryobasidium botryosum","Pseudogymnoascus destructans",0.24629801433847,0,"1","fungi_fungi"
"128","Botryobasidium botryosum","Sporothrix brasiliensis",0.104082688588523,0.01,"1","fungi_fungi"
"129","s__Adlercreutzia_hattorii","Botryobasidium botryosum",-0.112028595465657,0.02,"-1","Bacter_fungi"
"130","s__Butyrivibrio_hungatei","Botryobasidium botryosum",-0.188247130285252,0,"-1","Bacter_fungi"
"131","s__Clostridium_novyi","Botryobasidium botryosum",-0.156787593720866,0,"-1","Bacter_fungi"
"132","s__Collinsella_aerofaciens","Botryobasidium botryosum",-0.149155997153614,0.02,"-1","Bacter_fungi"
"133","s__Coprococcus_eutactus","Botryobasidium botryosum",-0.262771152738918,0,"-1","Bacter_fungi"
"134","s__Coprococcus_sp._ART55","Botryobasidium botryosum",-0.184652874213727,0,"-1","Bacter_fungi"
"135","s__Eubacterium_sp._MSJ-33","Botryobasidium botryosum",-0.198963145705715,0,"-1","Bacter_fungi"
"136","s__Faecalibacterium_duncaniae","Botryobasidium botryosum",-0.122295681982555,0.03,"-1","Bacter_fungi"
"137","s__Faecalibacterium_prausnitzii","Botryobasidium botryosum",-0.18469190035994,0,"-1","Bacter_fungi"
"138","s__Lachnospira_eligens","Botryobasidium botryosum",-0.227402368351192,0,"-1","Bacter_fungi"
"139","s__Mageeibacillus_indolicus","Botryobasidium botryosum",-0.123194603778797,0.03,"-1","Bacter_fungi"
"140","s__Pseudobutyrivibrio_xylanivorans","Botryobasidium botryosum",-0.240256208175973,0,"-1","Bacter_fungi"
"141","s__Ruminococcus_albus","Botryobasidium botryosum",-0.118951618777566,0.02,"-1","Bacter_fungi"
"142","s__Ruminococcus_bovis","Botryobasidium botryosum",-0.135509752538298,0.02,"-1","Bacter_fungi"
"143","s__Ruminococcus_champanellensis","Botryobasidium botryosum",-0.141596648771832,0.01,"-1","Bacter_fungi"
"144","Cladophialophora psammophila","Calocera viscosa",0.144686009316478,0,"1","fungi_fungi"
"145","Calocera viscosa","Diaporthe helianthi",0.129726288312969,0,"1","fungi_fungi"
"146","Hypoxylon sp. CO27-5","Calocera viscosa",0.119700133287157,0.01,"1","fungi_fungi"
"147","Calocera viscosa","Kalmanozyma brasiliensis",0.146690006922112,0,"1","fungi_fungi"
"148","Calocera viscosa","Malassezia pachydermatis",0.122827804093488,0,"1","fungi_fungi"
"149","Neolecta irregularis","Calocera viscosa",0.0909728324453514,0.01,"1","fungi_fungi"
"150","Neurospora tetrasperma","Calocera viscosa",0.0840309139885403,0.03,"1","fungi_fungi"
"151","Pyrenophora tritici-repentis","Calocera viscosa",0.0936075411076007,0.03,"1","fungi_fungi"
"152","Calocera viscosa","Sporothrix brasiliensis",0.119445981231984,0.01,"1","fungi_fungi"
"153","Calocera viscosa","Stachybotrys chartarum",0.0980315218789073,0.02,"1","fungi_fungi"
"154","Stemphylium lycopersici","Calocera viscosa",0.115304810050116,0,"1","fungi_fungi"
"155","Calocera viscosa","Tolypocladium paradoxum",0.119151105401319,0.01,"1","fungi_fungi"
"156","Torulaspora globosa","Calocera viscosa",0.09335160003167,0.03,"1","fungi_fungi"
"157","s__Adlercreutzia_equolifaciens","Calocera viscosa",-0.119972444798191,0.04,"-1","Bacter_fungi"
"158","s__Adlercreutzia_hattorii","Calocera viscosa",-0.124771976383161,0.02,"-1","Bacter_fungi"
"159","s__Anaerostipes_hadrus","Calocera viscosa",-0.19401747289196,0,"-1","Bacter_fungi"
"160","s__Butyrivibrio_hungatei","Calocera viscosa",-0.110420995081424,0.02,"-1","Bacter_fungi"
"161","s__Clostridium_novyi","Calocera viscosa",-0.145391931474581,0.01,"-1","Bacter_fungi"
"162","s__Coprococcus_comes","Calocera viscosa",-0.0960959620108741,0.01,"-1","Bacter_fungi"
"163","s__Coprococcus_eutactus","Calocera viscosa",-0.221797146577717,0,"-1","Bacter_fungi"
"164","s__Coprococcus_sp._ART55","Calocera viscosa",-0.188199882566079,0,"-1","Bacter_fungi"
"165","s__Dorea_longicatena","Calocera viscosa",-0.12754911575973,0.02,"-1","Bacter_fungi"
"166","s__Eubacterium_sp._MSJ-33","Calocera viscosa",-0.14919465737208,0.03,"-1","Bacter_fungi"
"167","s__Lachnospira_eligens","Calocera viscosa",-0.182629257899599,0,"-1","Bacter_fungi"
"168","s__Mageeibacillus_indolicus","Calocera viscosa",-0.131029591415017,0.01,"-1","Bacter_fungi"
"169","s__Pseudobutyrivibrio_xylanivorans","Calocera viscosa",-0.143367375219713,0.02,"-1","Bacter_fungi"
"170","s__Roseburia_hominis","Calocera viscosa",-0.137365345219607,0.01,"-1","Bacter_fungi"
"171","Cladophialophora psammophila","Capronia coronata",0.0972390739458831,0.02,"1","fungi_fungi"
"172","Capronia coronata","Diaporthe helianthi",0.114168098415962,0.02,"1","fungi_fungi"
"173","Capronia coronata","Enterocytozoon bieneusi",0.153364425061325,0.01,"1","fungi_fungi"
"174","Exophiala mesophila","Capronia coronata",0.0867181559578973,0.04,"1","fungi_fungi"
"175","Malassezia pachydermatis","Capronia coronata",0.130696846040667,0.01,"1","fungi_fungi"
"176","Microbotryum lychnidis-dioicae","Capronia coronata",0.109449515855097,0.03,"1","fungi_fungi"
"177","Naematelia encephala","Capronia coronata",0.129429821830064,0,"1","fungi_fungi"
"178","Stemphylium lycopersici","Capronia coronata",0.121140120443042,0,"1","fungi_fungi"
"179","Talaromyces marneffei","Capronia coronata",0.118009796527765,0,"1","fungi_fungi"
"180","Tolypocladium capitatum","Capronia coronata",0.0880549527325976,0.02,"1","fungi_fungi"
"181","Verticillium longisporum","Capronia coronata",0.132821130859221,0,"1","fungi_fungi"
"182","s__Bacillus_amyloliquefaciens","Capronia coronata",-0.129157087568772,0.01,"-1","Bacter_fungi"
"183","s__Coprococcus_eutactus","Capronia coronata",-0.110540245911186,0.04,"-1","Bacter_fungi"
"184","s__Coprococcus_sp._ART55","Capronia coronata",-0.184809433602597,0,"-1","Bacter_fungi"
"185","s__Eubacterium_sp._MSJ-33","Capronia coronata",-0.16001644648204,0,"-1","Bacter_fungi"
"186","s__Faecalibacillus_intestinalis","Capronia coronata",-0.16584122706154,0.01,"-1","Bacter_fungi"
"187","s__Faecalibacterium_duncaniae","Capronia coronata",-0.133673684450327,0,"-1","Bacter_fungi"
"188","s__Faecalibacterium_prausnitzii","Capronia coronata",-0.177120154555534,0,"-1","Bacter_fungi"
"189","s__Lachnospira_eligens","Capronia coronata",-0.118174346019725,0.02,"-1","Bacter_fungi"
"190","s__Olsenella_timonensis","Capronia coronata",-0.110057558396191,0.04,"-1","Bacter_fungi"
"191","s__Paenibacillus_larvae","Capronia coronata",-0.0923916008804383,0.03,"-1","Bacter_fungi"
"192","s__Roseburia_hominis","Capronia coronata",-0.134415172721869,0.03,"-1","Bacter_fungi"
"193","s__Ruminococcus_albus","Capronia coronata",-0.123136384821963,0.04,"-1","Bacter_fungi"
"194","s__Ruminococcus_bicirculans","Capronia coronata",-0.1666347840811,0.01,"-1","Bacter_fungi"
"195","s__Ruminococcus_bovis","Capronia coronata",-0.109989808864612,0.02,"-1","Bacter_fungi"
"196","s__Ruminococcus_champanellensis","Capronia coronata",-0.186918966529644,0,"-1","Bacter_fungi"
"197","s__Starkeya_novella","Capronia coronata",-0.147516586275159,0.01,"-1","Bacter_fungi"
"198","s__Vescimonas_coprocola","Capronia coronata",-0.156991863529846,0.01,"-1","Bacter_fungi"
"199","s__Vescimonas_fastidiosa","Capronia coronata",-0.174329083360296,0,"-1","Bacter_fungi"
"200","Cladophialophora psammophila","Colletotrichum siamense",0.0884719966831007,0.04,"1","fungi_fungi"
"201","Colletotrichum simmondsii","Cladophialophora psammophila",0.124387247941734,0.01,"1","fungi_fungi"
"202","Cladophialophora psammophila","Enterocytozoon bieneusi",0.190296258939117,0,"1","fungi_fungi"
"203","Cladophialophora psammophila","Exophiala mesophila",0.12260918503101,0,"1","fungi_fungi"
"204","Cladophialophora psammophila","Fistulina hepatica",0.111495836958646,0,"1","fungi_fungi"
"205","Cladophialophora psammophila","Kalmanozyma brasiliensis",0.103417169385827,0.04,"1","fungi_fungi"
"206","Cladophialophora psammophila","Kwoniella mangrovensis",0.132765337558899,0,"1","fungi_fungi"
"207","Cladophialophora psammophila","Macroventuria anomochaeta",0.107340367124925,0,"1","fungi_fungi"
"208","Naematelia encephala","Cladophialophora psammophila",0.131079669808371,0,"1","fungi_fungi"
"209","Nematocida displodere","Cladophialophora psammophila",0.0807315594519503,0.02,"1","fungi_fungi"
"210","Cladophialophora psammophila","Neolecta irregularis",0.104990789688327,0.01,"1","fungi_fungi"
"211","Cladophialophora psammophila","Penicillium antarcticum",0.0980835779404115,0.03,"1","fungi_fungi"
"212","Cladophialophora psammophila","Pseudogymnoascus destructans",0.100979929912853,0.02,"1","fungi_fungi"
"213","Saccharomycodes ludwigii","Cladophialophora psammophila",0.122048747422169,0,"1","fungi_fungi"
"214","Cladophialophora psammophila","Sporothrix brasiliensis",0.10353100866066,0.01,"1","fungi_fungi"
"215","Stemphylium lycopersici","Cladophialophora psammophila",0.0910484288668619,0,"1","fungi_fungi"
"216","Cladophialophora psammophila","Tolypocladium paradoxum",0.176293206061937,0,"1","fungi_fungi"
"217","s__Acetivibrio_thermocellus","Cladophialophora psammophila",-0.118997712054634,0.03,"-1","Bacter_fungi"
"218","s__Adlercreutzia_hattorii","Cladophialophora psammophila",-0.107411278834912,0.01,"-1","Bacter_fungi"
"219","s__Anaerostipes_hadrus","Cladophialophora psammophila",-0.129917716242696,0,"-1","Bacter_fungi"
"220","s__Bifidobacterium_adolescentis","Cladophialophora psammophila",-0.146640565984282,0.01,"-1","Bacter_fungi"
"221","s__Butyrivibrio_hungatei","Cladophialophora psammophila",-0.153605684120331,0,"-1","Bacter_fungi"
"222","s__Clostridium_novyi","Cladophialophora psammophila",-0.168491265009525,0,"-1","Bacter_fungi"
"223","s__Coprococcus_comes","Cladophialophora psammophila",-0.186840308328037,0,"-1","Bacter_fungi"
"224","s__Coprococcus_eutactus","Cladophialophora psammophila",-0.209422314372485,0,"-1","Bacter_fungi"
"225","s__Coprococcus_sp._ART55","Cladophialophora psammophila",-0.187350821901759,0,"-1","Bacter_fungi"
"226","s__Eubacterium_sp._MSJ-33","Cladophialophora psammophila",-0.2477530739361,0,"-1","Bacter_fungi"
"227","s__Faecalibacillus_intestinalis","Cladophialophora psammophila",-0.0931067261182875,0.04,"-1","Bacter_fungi"
"228","s__Faecalibacterium_prausnitzii","Cladophialophora psammophila",-0.133715577943159,0,"-1","Bacter_fungi"
"229","s__Lachnospira_eligens","Cladophialophora psammophila",-0.203674268781309,0,"-1","Bacter_fungi"
"230","s__Mageeibacillus_indolicus","Cladophialophora psammophila",-0.163423435259198,0.01,"-1","Bacter_fungi"
"231","s__Paenibacillus_larvae","Cladophialophora psammophila",-0.218741575952925,0,"-1","Bacter_fungi"
"232","s__Pseudobutyrivibrio_xylanivorans","Cladophialophora psammophila",-0.229840948961248,0,"-1","Bacter_fungi"
"233","s__Roseburia_hominis","Cladophialophora psammophila",-0.159512407664653,0,"-1","Bacter_fungi"
"234","s__Ruminococcus_bicirculans","Cladophialophora psammophila",-0.155847851032659,0,"-1","Bacter_fungi"
"235","s__Ruminococcus_champanellensis","Cladophialophora psammophila",-0.165372274501283,0,"-1","Bacter_fungi"
"236","s__Vescimonas_coprocola","Cladophialophora psammophila",-0.130191140030484,0.02,"-1","Bacter_fungi"
"237","Colletotrichum simmondsii","Colletotrichum siamense",0.0891615990351611,0.04,"1","fungi_fungi"
"238","Colletotrichum siamense","Diaporthe helianthi",0.133393135368524,0.02,"1","fungi_fungi"
"239","Fistulina hepatica","Colletotrichum siamense",0.0837265069667133,0.03,"1","fungi_fungi"
"240","Colletotrichum siamense","Fusarium oxysporum",0.142737585967451,0.01,"1","fungi_fungi"
"241","Colletotrichum siamense","Kalmanozyma brasiliensis",0.108118072858364,0.04,"1","fungi_fungi"
"242","Microbotryum lychnidis-dioicae","Colletotrichum siamense",0.134093245579557,0,"1","fungi_fungi"
"243","Naematelia encephala","Colletotrichum siamense",0.110763614439135,0.01,"1","fungi_fungi"
"244","Colletotrichum siamense","Neurospora crassa",0.0840031136756205,0.04,"1","fungi_fungi"
"245","Colletotrichum siamense","Pseudogymnoascus destructans",0.123178444918564,0.03,"1","fungi_fungi"
"246","Stemphylium lycopersici","Colletotrichum siamense",0.0850117728276377,0.04,"1","fungi_fungi"
"247","Talaromyces amestolkiae","Colletotrichum siamense",0.0900828041347484,0.04,"1","fungi_fungi"
"248","s__Acetivibrio_thermocellus","Colletotrichum siamense",-0.124961584524794,0.01,"-1","Bacter_fungi"
"249","s__Bacillus_amyloliquefaciens","Colletotrichum siamense",-0.105686857272307,0.02,"-1","Bacter_fungi"
"250","s__Blautia_pseudococcoides","Colletotrichum siamense",-0.139512318828849,0.02,"-1","Bacter_fungi"
"251","s__Butyrivibrio_hungatei","Colletotrichum siamense",-0.157943811622313,0,"-1","Bacter_fungi"
"252","s__Coprococcus_eutactus","Colletotrichum siamense",-0.188476495732839,0,"-1","Bacter_fungi"
"253","s__Coprococcus_sp._ART55","Colletotrichum siamense",-0.126540734598707,0.02,"-1","Bacter_fungi"
"254","s__Eubacterium_sp._MSJ-33","Colletotrichum siamense",-0.162729337171008,0,"-1","Bacter_fungi"
"255","s__Eubacterium_sp._c-25","Colletotrichum siamense",-0.198858401274707,0,"-1","Bacter_fungi"
"256","s__Faecalitalea_cylindroides","Colletotrichum siamense",-0.131844218380054,0,"-1","Bacter_fungi"
"257","s__Lachnoclostridium_phocaeense","Colletotrichum siamense",-0.184861392959844,0,"-1","Bacter_fungi"
"258","s__Paenibacillus_larvae","Colletotrichum siamense",-0.183734304517589,0,"-1","Bacter_fungi"
"259","s__Pseudobutyrivibrio_xylanivorans","Colletotrichum siamense",-0.170984202630678,0,"-1","Bacter_fungi"
"260","s__Ruminococcus_albus","Colletotrichum siamense",-0.134807025103402,0,"-1","Bacter_fungi"
"261","s__Vescimonas_fastidiosa","Colletotrichum siamense",-0.107712145548988,0.04,"-1","Bacter_fungi"
"262","s__[Ruminococcus]_torques","Colletotrichum siamense",-0.1028627626391,0.04,"-1","Bacter_fungi"
"263","Colletotrichum simmondsii","Fusarium oxysporum",0.0915188211054443,0.01,"1","fungi_fungi"
"264","Colletotrichum simmondsii","Fusarium venenatum",0.12628361456948,0,"1","fungi_fungi"
"265","Hanseniaspora guilliermondii","Colletotrichum simmondsii",0.088534753246813,0.03,"1","fungi_fungi"
