"","KO_id","fc","Clust1_z_score_mean","Clust2_z_score_mean","Clust1_zscore_median","Clust2_zscore_median","p.val","p.adj","cohen.d","Level1","Level2","Level3","EC_num"
"50","K00145",0.93382867158433,9.49339928176796e-05,0.000101661038803419,9.53576e-05,0.0001074535,0.00912483009370424,0.021874701510183,-0.158601667929305,"Metabolism","Amino acid metabolism","Arginine biosynthesis [PATH:ko00220]","argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]"
"51","K00150",1.00860730544347,7.48677118508287e-07,7.42288018803419e-07,0,0,2.84212204097063e-06,1.71628436991655e-05,0.00132203413803848,"Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]"
"52","K00151",0.246808026134897,9.04986251657459e-07,3.66676183846154e-06,0,1.290995e-07,6.57112701985812e-07,4.6929092504518e-06,-0.315774235590559,"Metabolism","Amino acid metabolism","Tyrosine metabolism [PATH:ko00350]","hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]"
"53","K00156",0.487283621179423,8.22850374502762e-06,1.68864771713675e-05,5.334965e-06,1.016115e-05,2.05643432528763e-08,2.16963013553015e-07,-0.390388982926313,"Metabolism","Carbohydrate metabolism","Pyruvate metabolism [PATH:ko00620]","poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]"
"54","K00163",0.0933298080230521,3.22697612983425e-07,3.45760502264957e-06,0,0,3.92237031132535e-08,3.84830179832051e-07,-0.293611591161786,"Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]"
"55","K00166",0.263756991611998,3.45256480662983e-08,1.30899461111111e-07,0,0,0.0018561452454926,0.00557788864060181,-0.105945169895348,"Metabolism","Carbohydrate metabolism","Propanoate metabolism [PATH:ko00640]","BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]"
"56","K00169",1.52834010841151,4.75642685635359e-06,3.11215208589744e-06,2.77039e-06,1.377235e-06,7.44829939362458e-13,1.57366755219265e-11,0.267475915528817,"Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]"
"57","K00170",1.29725760439835,2.91714345441989e-06,2.24870021538462e-06,1.65784e-06,8.998825e-07,1.24749742814296e-05,6.24959142140024e-05,0.116062491027611,"Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]"
"58","K00171",1.72383422886792,2.41125202734807e-06,1.39877256581197e-06,9.15716e-07,0,1.21095909712183e-14,3.40263030657259e-13,0.174908460166373,"Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]"
"59","K00172",1.34475648619468,3.87901049502762e-06,2.88454492307692e-06,2.18834e-06,1.58428e-06,1.34275314365856e-06,8.88109184929013e-06,0.186037505425443,"Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]"
"60","K00174",0.770382836035267,5.20232781740332e-05,6.75291241452991e-05,4.983265e-05,6.328445e-05,0.000340868727199823,0.00121532868165634,-0.331401574443059,"Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
"61","K00175",0.694877190277236,4.72970929419889e-05,6.80653986111111e-05,4.67714e-05,5.86894e-05,1.35468409222798e-06,8.93853457339884e-06,-0.425146535965919,"Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
"62","K00176",0.771747372785038,4.15727151657459e-05,5.38682950299145e-05,3.83448e-05,4.98565e-05,0.00143986556027747,0.00441854732297629,-0.307530862150009,"Metabolism","Carbohydrate metabolism","Citrate cycle (TCA cycle) [PATH:ko00020]","korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]"
"63","K00187",1.00600033159906,5.96949375138122e-07,5.93388845299145e-07,0,0,1.27727248001165e-06,8.54497826607333e-06,0.000908278173143062,"Metabolism","Amino acid metabolism","Valine, leucine and isoleucine degradation [PATH:ko00280]","vorB; 2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]"
"64","K00188",1.02399224902979,8.23115527624309e-07,8.03829841880342e-07,0,0,0.00154666574719527,0.0047128254800147,0.00429097088980849,"Metabolism","Amino acid metabolism","Valine, leucine and isoleucine degradation [PATH:ko00280]","vorD; 2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]"
"65","K00194",1.37209175231137,7.05671649171271e-07,5.14303542735043e-07,3.84039e-07,0,2.20085570067053e-05,0.000102893429220369,0.136164336441737,"Metabolism","Energy metabolism","Carbon fixation pathways in prokaryotes [PATH:ko00720]","cdhD, acsD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]"
"66","K00196",1.53815589134863,2.76123885635359e-06,1.7951619025641e-06,3.887235e-07,0,4.750570491671e-05,0.000203655748996856,0.171486096248241,"Metabolism","Energy metabolism","Carbon fixation pathways in prokaryotes [PATH:ko00720]","cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit"
"67","K00198",0.973185090990237,2.26738371685083e-06,2.32985866495726e-06,1.320925e-06,1.061305e-06,0.00106379839315636,0.00336062658732876,-0.0136119820608098,"Metabolism","Energy metabolism","Carbon fixation pathways in prokaryotes [PATH:ko00720]","cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]"
"68","K00200",0.991911227037906,7.17198733701657e-07,7.23047299145299e-07,0,0,5.44959508803251e-06,3.05214271337197e-05,-0.00120316776866438,"Metabolism","Energy metabolism","Methane metabolism [PATH:ko00680]","fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]"
"69","K00201",0.953834479470394,7.40862035635359e-07,7.76719705128205e-07,0,0,2.23064624436603e-06,1.39495598975835e-05,-0.00722115769766636,"Metabolism","Energy metabolism","Methane metabolism [PATH:ko00680]","fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]"
"70","K00202",0.92859331802732,6.93739816022099e-07,7.47086805982906e-07,0,0,8.81781738324427e-07,6.11620398009915e-06,-0.010751440122323,"Metabolism","Energy metabolism","Methane metabolism [PATH:ko00680]","fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]"
"71","K00203",0.974300305569658,7.11425474309392e-07,7.30191164102564e-07,0,0,0.000129961509195868,0.000505467056246263,-0.00370633083785721,"Metabolism","Energy metabolism","Methane metabolism [PATH:ko00680]","fwdD, fmdD; formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]"
"72","K00204",1.08751072438098,7.24868622099448e-07,6.66539286324786e-07,0,0,4.18375648333455e-06,2.42030898521196e-05,0.0138045860930241,"Metabolism","Energy metabolism","Methane metabolism [PATH:ko00680]","fwdH; 4Fe-4S ferredoxin"
"73","K00205",0.980006286774879,1.31711161132597e-06,1.34398281837607e-06,0,0,9.49625242865264e-06,4.94008446556042e-05,-0.0031594218420306,"Metabolism","Energy metabolism","Methane metabolism [PATH:ko00680]","fwdF, fmdF; 4Fe-4S ferredoxin"
"74","K00208",0.488158110124623,5.97146773618784e-06,1.22326508816239e-05,2.679105e-06,4.42548e-06,0.000788148044993785,0.00259604904294006,-0.301051364427287,"Metabolism","Lipid metabolism","Fatty acid biosynthesis [PATH:ko00061]","fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]"
"75","K00209",1.14488527744445,1.76359381933702e-06,1.54041095128205e-06,5.99168e-07,1.310855e-07,2.26772627648126e-06,1.41173223587127e-05,0.0509110261641091,"Metabolism","Carbohydrate metabolism","Butanoate metabolism [PATH:ko00650]","fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]"
"76","K00216",0.663146405780192,5.54474093093923e-07,8.36126213247863e-07,0,0,0.0028447505993789,0.0079825015969664,-0.113848416936711,"Metabolism","Metabolism of terpenoids and polyketides","Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]","entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]"
"77","K00223",0,0,2.43973944444444e-08,0,0,0.00528682899364855,0.0131075913314918,-0.0676535444824604,"Metabolism","Lipid metabolism","Steroid biosynthesis [PATH:ko00100]","ERG4; Delta24(24(1))-sterol reductase [EC:1.3.1.71]"
"78","K00226",0.727621948525723,1.55671416740332e-05,2.13945465850427e-05,1.178495e-05,1.53458e-05,0.000412948769492627,0.00144304982435643,-0.293568338725437,"Metabolism","Nucleotide metabolism","Pyrimidine metabolism [PATH:ko00240]","pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]"
"79","K00227",0,0,3.54002833333333e-08,0,0,0.00528682899364855,0.0131075913314918,-0.0697988341284577,"Metabolism","Lipid metabolism","Steroid biosynthesis [PATH:ko00100]","SC5DL, ERG3; Delta7-sterol 5-desaturase [EC:1.14.19.20]"
"80","K00228",0.35538344584621,1.95969010635359e-06,5.51429766709402e-06,2.24405e-07,8.951075e-07,1.3820185002535e-07,1.17512647809711e-06,-0.317740047306581,"Metabolism","Metabolism of cofactors and vitamins","Porphyrin metabolism [PATH:ko00860]","CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]"
"81","K00230",0.434378857789724,5.42768163756906e-06,1.24952712136752e-05,2.13447e-06,4.5836e-06,2.85257863770525e-07,2.24003347206113e-06,-0.37600961742557,"Metabolism","Metabolism of cofactors and vitamins","Porphyrin metabolism [PATH:ko00860]","hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]"
"82","K00239",1.07376687153114,3.16298283922652e-05,2.94568860623932e-05,2.995495e-05,2.539955e-05,0.0052231939260562,0.0131075913314918,0.0900345631281124,"Metabolism","Carbohydrate metabolism","Citrate cycle (TCA cycle) [PATH:ko00020]","sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
"83","K00240",0.680191737179657,7.41407000331492e-05,0.000108999706965812,7.384005e-05,0.0001106525,6.80038020107204e-19,3.57821279242396e-17,-0.648255416050102,"Metabolism","Carbohydrate metabolism","Citrate cycle (TCA cycle) [PATH:ko00020]","sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
"84","K00241",0.5880125933265,1.46903975635359e-05,2.49831342564103e-05,1.013385e-05,1.377205e-05,0.000244398501489156,0.000893747685171277,-0.327012679582188,"Metabolism","Carbohydrate metabolism","Citrate cycle (TCA cycle) [PATH:ko00020]","sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
"85","K00242",0.390858414175953,2.5439439301105e-06,6.50860730598291e-06,2.955035e-07,8.4805e-07,1.43271138131819e-05,7.05341401732396e-05,-0.283589584229466,"Metabolism","Carbohydrate metabolism","Citrate cycle (TCA cycle) [PATH:ko00020]","sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
